Months_since_Release,Format,A_units,A_values,Platform_Label,Territory_label,Avg_Price_unit,log_A_values,Forecasted_A_units,Discount_Forecast
2,DIGITAL,100.0,5506.63662,XBOX ONE,NORDICS,55.0663662,8.613709301975508,,
2,DIGITAL,100.0,4863.126551,XBOX ONE,OCEANIA,48.631265510000006,8.489436833301873,,
2,DIGITAL,100.0,3458.63388,XBOX ONE,POLAND,34.5863388,8.148628957715005,,
2,DIGITAL,100.0,4364.2,XBOX ONE,SOUTHERN EUROPE,43.642,8.381190175417029,,
2,DIGITAL,400.0,18452.98418,PS4,MIDDLE EAST,46.13246045,9.822981380562936,,
2,DIGITAL,200.0,5585.252557,PC,EASTERN EUROPE,27.926262785,8.62788493107175,,
2,DIGITAL,200.0,9211.189151,PC,GSA,46.055945755,9.128174236115571,,
2,DIGITAL,200.0,9815.214286,PC,NORDICS,49.07607143,9.19168893897351,,
2,DIGITAL,200.0,8422.641604,PC,OCEANIA,42.11320802,9.038678787724715,,
2,DIGITAL,200.0,8412.666094,PC,UNITED KINGDOM & IRELAND,42.06333047,9.037493717472788,,
2,DIGITAL,200.0,10223.97403,PS4,ITALY,51.11987015,9.232490636512368,,
2,DIGITAL,200.0,10588.77629,PS4,OCEANIA,52.94388145,9.26754987856643,,
2,DIGITAL,200.0,9668.833114,XBOX ONE,GSA,48.344165569999994,9.176662910431812,,
2,DIGITAL,200.0,8942.880419,XBOX ONE,UNITED KINGDOM & IRELAND,44.714402095,9.098613010793068,,
2,DIGITAL,500.0,26800.88235,PS4,FRANCE,53.6017647,10.196190089464444,,
2,PHYSICAL,300.0,20935.60784,PS4,NORDICS,69.78535946666666,9.949206712662749,,
2,PHYSICAL,300.0,17348.25073,XBOX ONE,FRANCE,57.82750243333333,9.761246957813691,,
2,PHYSICAL,600.0,41125.55772,PS4,IBERIA,68.54259619999999,10.624385049556263,,
2,PHYSICAL,600.0,40901.47231,PS4,ITALY,68.16912051666667,10.6189213391825,,
2,PHYSICAL,100.0,5606.852842,PC,BENE,56.06852842,8.63174485037173,,
2,PHYSICAL,100.0,4810.766962,PC,FRANCE,48.10766962,8.47861180194801,,
2,PHYSICAL,100.0,5430.179104,PC,IBERIA,54.30179104,8.599727396546077,,
2,PHYSICAL,100.0,5982.528302,PC,ITALY,59.82528302,8.6965985505695,,
2,PHYSICAL,100.0,6464.266667,PC,NORDICS,64.64266667,8.77404485352698,,
2,PHYSICAL,100.0,5713.1106859870515,PS4,POLAND,57.13110685987051,8.650518932943756,,
2,PHYSICAL,100.0,2229.526048,PS4,UNITED KINGDOM & IRELAND,22.295260480000003,7.709544307336353,,
2,PHYSICAL,100.0,6220.594552,XBOX ONE,BENE,62.20594551999999,8.73562076830333,,
2,PHYSICAL,100.0,6871.512265,XBOX ONE,IBERIA,68.71512265,8.835139486901994,,
2,PHYSICAL,100.0,6914.086514,XBOX ONE,ITALY,69.14086514,8.841316133275717,,
2,PHYSICAL,100.0,7354.201802,XBOX ONE,NORDICS,73.54201802,8.903027102605195,,
2,PHYSICAL,100.0,5713.1106859870515,XBOX ONE,POLAND,57.13110685987051,8.650518932943756,,
2,PHYSICAL,100.0,2306.699782,XBOX ONE,UNITED KINGDOM & IRELAND,23.06699782,7.743573116198935,,
2,PHYSICAL,400.0,25226.84865,PS4,BENE,63.067121625,10.135664128958691,,
2,PHYSICAL,200.0,5740.34239,PS4,GSA,28.70171195,8.655274137360417,,
2,PHYSICAL,1500.0,87963.96009,PS4,FRANCE,58.64264006,11.3846824651423,,
1,DIGITAL,1800.0,133720.7424,PS4,GSA,74.28930133333333,11.803508892418115,,
1,DIGITAL,300.0,16967.50845,PC,IBERIA,56.5583615,9.739055526588693,,
1,DIGITAL,300.0,22426.29293,PS4,ITALY,74.75430976666667,10.017989341006329,,
1,DIGITAL,300.0,23887.64123,XBOX ONE,OCEANIA,79.62547076666667,10.081116500828278,,
1,DIGITAL,1100.0,62458.83842,PC,GSA,56.7807622,11.042263033481943,,
1,DIGITAL,1100.0,73808.53531,XBOX ONE,UNITED KINGDOM & IRELAND,67.09866846363637,11.209229658508132,,
1,DIGITAL,600.0,26971.12415,PC,MIDDLE EAST,44.95187358333333,10.202522096763087,,
1,DIGITAL,600.0,45027.47705,PS4,BENE,75.04579508333333,10.71502818352256,,
1,DIGITAL,100.0,5537.303191,PC,CENTRAL EUROPE,55.37303191,8.619262872593122,,
1,DIGITAL,100.0,5658.426471,PC,LUXEMBOURG,56.58426471,8.640901123888414,,
1,DIGITAL,100.0,5337.230392,PC,NORTHERN EUROPE,53.37230392000001,8.582462144223634,,
